time;x;y;z;t_1-T_n-1;a_tot;;;
1,42764E+18;-0,0371;0,7009;10,2406;55699968;10,26462517;;;
1,42764E+18;-0,0395;0,6871;10,1789;64450048;10,20219088;;;
1,42764E+18;-0,0581;0,6758;10,1969;61030144;10,2194373;;;
1,42764E+18;-0,0521;0,6794;10,1957;64269824;10,21844881;;;
1,42764E+18;-0,0221;0,6692;10,2316;76360192;10,25350476;;;
1,42764E+18;-0,0527;0,6961;10,2143;61979904;10,23809151;;;
1,42764E+18;-0,0593;0,6710;10,2376;51760128;10,25974149;;;
1,42764E+18;-0,0467;0,6847;10,1855;63349760;10,20863034;;;
1,42764E+18;-0,0455;0,6967;10,2502;66440192;10,27392748;;;
1,42764E+18;-0,0473;0,6758;10,2173;65829888;10,23968809;;;
1,42764E+18;-0,0395;0,6794;10,2286;52640000;10,25123964;;;
1,42764E+18;-0,0419;0,6871;10,2238;63140096;10,24699056;;;
1,42764E+18;-0,0617;0,7129;10,1957;60359936;10,22078525;;;
1,42764E+18;-0,0503;0,7069;10,2197;62870016;10,24419176;;;
1,42764E+18;-0,0521;0,7021;10,2394;61129984;10,26357681;;;
1,42764E+18;-0,0335;0,6859;10,2358;62470144;10,25882364;;;
1,42764E+18;-0,0503;0,6877;10,2615;54129920;10,28469124;;;
1,42764E+18;-0,0443;0,6925;10,2280;67259904;10,25154266;;;
1,42764E+18;-0,0449;0,6979;10,2101;53750016;10,23399648;;;
1,42764E+18;-0,0389;0,6847;10,2304;63409920;10,25338774;;;
1,42764E+18;-0,0431;0,6770;10,2382;66830080;10,26065175;;;
1,42764E+18;-0,0581;0,6859;10,2400;53260032;10,26311373;;;
1,42764E+18;-0,0509;0,6764;10,2220;61090048;10,24452232;;;
1,42764E+18;-0,0443;0,6985;10,2430;62230016;10,26687787;;;
1,42764E+18;-0,0401;0,7213;10,2430;50599936;10,26843319;;;
1,42764E+18;-0,0581;0,7009;10,2113;61949952;10,23546141;;;
